,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
9,46.5,Azerbaijan,Former Soviet States,10093121,42607176471,32.7,24.9,12.7,40.7,33.1,45.5,44.3,46.4,41.0,41.0,0.0,0.0,55.7,56.9,50.7,62.2,,11.7,96.0,77.3,44.4,80.5,80.2,65.2,100.0,,,,,48.6,42.4,43.8,88.9,60.9,37.4,100.0,27.7,40.3,100.0,100.0,100.0,64.3,64.3,3.8,3.8
134,46.4,Paraguay,Latin America & Caribbean,7132530,35670301496,46.8,47.0,59.0,30.5,46.8,47.5,51.1,45.1,51.2,51.2,35.0,35.0,46.2,62.8,82.9,84.1,,19.9,0.0,85.4,63.4,20.2,16.6,54.8,49.3,,,,,40.9,38.8,36.5,,27.8,81.0,48.6,45.8,42.5,70.5,98.3,42.8,77.9,77.9,0.7,0.7
111,46.3,Montenegro,Eastern Europe,621306,4769860741,46.7,33.9,31.2,34.8,55.2,65.6,78.9,56.7,65.2,65.2,5.3,5.3,46.1,36.6,46.8,48.4,0.6,45.1,75.8,5.5,48.2,44.3,41.2,44.9,100.0,6.6,,9.1,3.7,65.6,54.5,90.7,89.8,83.6,100.0,43.7,37.0,34.2,85.2,88.1,82.4,19.2,19.2,8.4,8.4
47,46.3,Dominican Republic,Latin America & Caribbean,10847904,78844702329,36.1,37.4,34.8,37.8,63.3,38.9,44.7,35.1,30.0,30.0,5.7,5.7,53.2,81.6,91.5,99.0,100.0,39.6,64.6,87.2,44.1,26.6,23.7,63.4,43.0,21.8,27.4,16.3,,56.1,50.1,59.6,,59.8,91.0,60.6,69.2,59.1,79.3,85.7,72.9,24.2,24.2,5.8,5.8
58,45.8,Gabon,Sub-Saharan Africa,2225728,15316826192,27.9,28.2,16.1,42.2,49.5,27.6,28.4,27.1,54.1,54.1,0.0,0.0,57.8,86.0,89.9,95.2,100.0,30.7,96.6,90.6,71.5,44.7,44.7,42.8,45.2,7.3,5.5,9.1,,63.8,49.6,100.0,89.8,52.7,52.9,42.7,100.0,49.3,90.2,91.0,89.4,20.6,20.6,0.0,0.0
23,45.6,Barbados,Latin America & Caribbean,287371,4418000000,60.7,66.0,40.7,96.5,100.0,51.9,58.3,47.6,70.4,70.4,67.2,67.2,35.6,12.6,2.8,2.8,0.1,50.4,,,39.2,37.1,39.5,21.9,9.6,18.4,3.8,32.9,,59.1,64.3,63.0,,67.9,8.2,35.3,49.6,45.7,53.3,29.2,77.3,11.9,11.9,1.1,1.1
18,45.4,Bosnia and Herzegovina,Eastern Europe,3280815,19946496563,43.9,31.6,29.3,33.5,40.8,61.4,67.8,57.1,42.9,42.9,27.9,27.9,46.4,32.9,8.1,13.0,,41.8,88.3,41.5,49.0,53.4,54.3,47.3,43.0,,,,,57.5,52.9,69.5,90.6,24.8,75.7,62.6,32.8,28.6,78.1,64.8,91.3,25.1,25.1,1.1,1.1
93,45.4,Lebanon,Greater Middle East,6825442,31735217785,53.1,47.8,25.0,80.3,38.7,59.7,79.4,46.6,43.6,43.6,61.4,61.4,40.3,21.8,15.1,15.1,0.0,13.5,84.6,25.7,34.2,36.6,33.1,100.0,,14.2,,14.2,,56.8,63.4,36.0,,34.0,58.0,61.2,63.7,63.9,67.1,63.1,71.1,34.1,34.1,38.2,38.2
156,45.4,Thailand,Asia-Pacific,69799978,501643653515,48.4,40.6,41.1,40.1,39.8,55.8,75.8,42.5,81.6,81.6,32.9,32.9,43.5,53.0,76.7,59.1,16.9,21.8,69.9,84.1,48.2,24.3,23.3,38.7,28.3,11.1,3.3,23.7,5.5,52.5,38.2,85.4,94.4,65.7,42.6,35.5,40.4,37.7,78.7,100.0,57.4,33.1,33.1,2.0,2.0
148,45.2,Suriname,Latin America & Caribbean,586634,2884248048,36.6,37.4,30.3,39.3,99.5,39.3,45.4,35.3,43.2,43.2,0.0,0.0,50.9,63.6,57.5,84.4,0.0,98.0,91.9,84.3,78.1,51.3,47.1,100.0,77.5,16.8,8.8,24.8,,52.8,45.2,56.0,100.0,65.7,68.7,22.1,25.6,41.6,82.4,70.1,94.6,59.4,59.4,0.0,0.0
159,45.1,Tonga,Asia-Pacific,105697,488829964,43.6,39.5,49.6,24.3,50.5,46.4,52.0,42.7,78.8,78.8,27.2,27.2,46.0,37.3,58.3,58.3,0.5,5.0,,,59.2,,,,,44.7,6.3,58.6,73.5,56.6,45.7,74.4,,100.0,87.5,,42.6,69.9,65.5,100.0,31.0,34.1,34.1,0.3,0.3
115,45.1,Mauritius,Sub-Saharan Africa,1265740,10920606198,60.0,51.1,37.8,63.3,100.0,65.5,68.5,63.4,66.8,66.8,98.0,98.0,35.3,19.3,27.8,27.8,0.0,10.9,,,32.7,49.5,43.9,100.0,100.0,15.0,4.6,25.4,,51.0,43.2,47.4,88.6,39.9,97.3,34.1,43.5,52.4,49.2,50.9,47.5,20.0,20.0,2.5,2.5
48,44.8,Algeria,Greater Middle East,43851043,145009181491,50.4,45.3,21.9,78.9,33.2,53.2,59.6,49.0,38.9,38.9,91.6,91.6,41.0,39.0,43.2,45.9,0.6,7.1,80.7,47.3,75.4,24.0,17.3,69.2,100.0,8.1,1.9,14.3,,52.5,36.6,100.0,90.7,28.4,61.0,28.7,41.0,44.6,61.7,100.0,23.5,44.8,44.8,33.1,33.1
85,44.7,Kazakhstan,Former Soviet States,18754440,171082379533,40.8,32.0,26.6,40.7,22.0,55.1,54.0,55.8,52.8,52.8,2.2,2.2,47.3,41.6,18.7,24.2,,4.4,97.2,80.3,64.8,68.4,69.5,49.9,67.7,,,,,44.6,47.0,0.0,91.8,54.6,37.6,100.0,47.7,2.1,75.2,100.0,50.4,45.6,45.6,28.6,28.6
