,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
63,27.9,Gambia,Sub-Saharan Africa,2416664,1868086275,21.4,23.9,32.7,10.5,33.3,19.1,19.6,18.9,37.1,37.1,0.0,0.0,32.1,32.6,23.2,31.7,0.0,30.1,90.1,48.3,47.5,41.1,40.7,33.7,55.6,10.6,,7.5,14.2,35.8,24.0,52.3,,78.9,42.6,57.7,25.6,93.8,53.9,55.9,51.8,36.1,36.1,0.1,0.1
114,27.7,Mauritania,Sub-Saharan Africa,4649660,7913680231,20.0,22.4,22.0,19.8,47.7,13.6,13.7,13.4,55.8,55.8,12.5,12.5,32.8,19.2,3.6,3.0,0.1,4.6,94.5,1.4,78.0,97.2,100.0,53.6,90.9,7.8,14.7,4.2,3.9,32.6,21.5,32.6,88.7,35.7,41.5,0.0,33.7,58.6,49.2,55.1,43.4,39.7,39.7,0.0,0.0
61,27.6,Ghana,Sub-Saharan Africa,31072945,68532281806,20.1,18.0,17.1,17.8,29.2,20.8,21.5,20.3,55.3,55.3,0.0,0.0,32.6,58.9,78.9,84.3,1.1,38.8,84.5,88.9,48.4,15.4,13.7,43.8,17.0,9.0,6.9,11.2,,29.6,10.6,33.5,89.6,37.7,41.9,44.4,48.4,89.9,31.5,45.1,17.8,41.0,41.0,0.0,0.0
75,27.6,India,Southern Asia,1380004385,2660245248868,16.3,13.4,10.9,18.6,0.0,19.4,21.4,18.1,21.0,21.0,16.1,16.1,35.2,33.7,28.2,37.0,1.2,8.7,85.9,63.0,46.3,33.8,31.8,47.8,55.0,16.9,17.0,19.9,13.1,45.0,28.1,68.3,91.0,56.8,32.2,40.0,62.2,66.5,37.1,42.4,31.8,34.7,34.7,2.2,2.2
10,27.0,Burundi,Sub-Saharan Africa,11890781,2841786382,21.9,36.0,57.9,7.4,24.1,5.3,5.4,5.2,35.8,35.8,0.0,0.0,30.5,52.3,46.7,46.7,,25.3,90.7,67.1,48.5,34.7,32.7,66.5,39.2,,,,,16.8,4.3,26.6,,39.8,41.3,47.0,20.8,100.0,45.7,45.2,46.2,37.0,37.0,0.0,0.0
72,27.0,Haiti,Latin America & Caribbean,11402533,14508218017,21.8,31.1,47.5,7.8,37.1,14.0,14.4,13.8,12.1,12.1,0.9,0.9,30.5,34.5,38.3,53.7,6.9,30.9,44.1,31.1,41.0,26.2,22.8,67.9,46.4,16.7,18.9,14.5,,37.0,34.8,29.5,,60.7,45.7,41.6,23.2,86.4,23.8,36.9,10.6,31.4,31.4,0.0,0.0
154,26.7,Chad,Sub-Saharan Africa,16425859,10829076802,14.9,26.8,42.4,5.3,28.4,0.0,0.0,0.0,29.1,29.1,0.0,0.0,34.6,69.0,68.1,77.4,,19.2,91.3,83.3,67.0,22.2,18.6,52.1,57.0,,,,,17.4,20.7,0.0,,0.0,43.5,37.6,0.0,46.5,54.7,57.6,51.7,38.7,38.7,0.0,0.0
143,26.7,Solomon Islands,Asia-Pacific,686878,1545888426,20.4,27.0,40.1,0.0,100.0,14.0,13.6,14.3,25.5,25.5,0.0,0.0,30.9,15.3,1.6,1.6,0.8,6.2,62.5,0.0,76.2,25.5,25.5,,,31.8,9.2,18.7,73.3,45.0,41.9,43.8,,47.8,63.9,16.7,48.4,100.0,57.5,78.4,36.6,8.6,8.6,0.0,0.0
103,26.5,Madagascar,Sub-Saharan Africa,27691019,13056079982,22.1,36.1,56.4,7.4,41.5,5.9,5.7,6.0,33.0,33.0,0.6,0.6,29.4,25.0,32.3,29.1,7.0,17.4,0.0,48.6,46.7,14.6,9.2,70.2,55.5,11.8,13.7,9.9,,39.9,12.6,86.1,89.7,67.1,49.9,26.1,47.8,89.4,40.5,41.6,39.4,50.5,50.5,0.0,0.0
62,26.4,Guinea,Sub-Saharan Africa,13132792,15681050917,18.6,24.7,37.8,6.1,30.0,11.2,11.7,10.9,32.9,32.9,2.5,2.5,31.5,59.9,99.7,88.2,0.0,18.3,83.1,71.6,50.5,11.5,9.4,9.4,50.4,14.4,28.1,11.6,1.7,26.8,30.2,5.2,,19.0,42.0,0.0,36.7,72.7,30.0,18.3,41.6,35.0,35.0,0.0,0.0
32,25.8,Cote d'Ivoire,Sub-Saharan Africa,26378275,61348579465,19.4,20.3,25.9,10.6,36.3,17.2,17.7,16.9,44.9,44.9,2.1,2.1,30.1,62.0,100.0,98.1,1.0,45.1,32.3,95.1,49.6,15.7,11.8,46.3,55.2,16.9,10.2,23.6,,20.2,6.6,40.4,,42.6,15.2,44.3,43.5,91.7,31.8,40.4,23.3,32.0,32.0,0.6,0.6
144,25.7,Sierra Leone,Sub-Saharan Africa,7976985,4063289450,19.1,25.1,37.3,7.0,36.9,11.5,11.7,11.4,37.4,37.4,0.0,0.0,30.2,52.9,54.5,92.9,6.0,14.8,77.9,80.9,48.8,9.6,3.8,63.6,58.7,18.7,31.1,6.4,,24.9,7.9,26.4,89.4,14.9,52.8,0.0,36.4,99.3,40.1,49.3,30.9,42.7,42.7,0.0,0.0
0,25.5,Afghanistan,Southern Asia,38928341,20116137326,20.0,17.7,25.4,7.3,16.9,28.0,28.5,27.7,0.0,0.0,0.0,0.0,29.2,21.9,0.6,1.3,,5.0,90.7,18.0,57.7,93.6,95.0,60.9,100.0,,,,,22.2,0.0,66.1,,34.1,15.7,100.0,50.6,100.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
110,25.1,Myanmar,Asia-Pacific,54409794,79852046611,24.6,20.7,27.0,12.3,18.3,30.8,32.3,29.9,38.2,38.2,0.0,0.0,25.4,31.0,31.4,15.5,3.6,16.7,67.9,69.3,54.8,25.9,23.4,55.1,41.2,9.4,12.6,9.5,5.7,22.2,0.0,65.0,,28.4,62.1,12.2,73.2,70.6,50.7,51.8,49.6,53.7,53.7,0.0,0.0
94,22.6,Liberia,Sub-Saharan Africa,5057677,3201187800,21.3,30.9,43.7,11.4,45.7,9.8,10.5,9.4,37.3,37.3,0.0,0.0,23.6,32.6,21.3,55.7,1.0,17.2,42.0,53.7,57.2,14.6,11.2,36.9,53.4,10.6,16.0,11.7,3.1,24.9,6.9,29.7,89.3,35.0,38.6,3.4,28.5,100.0,32.7,48.9,16.6,26.2,26.2,0.0,0.0
