Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
South Africa,43.1,31.1,28.9,22.7,36.2,38.5,24.6,26.7,23.2,58.8,58.8,77.0,77.0,51.0,63.2,41.9,45.2,100.0,24.4,95.1,79.4,58.7,20.6,17.1,58.3,45.8,7.8,7.8,,7.7,62.8,58.3,73.3,86.3,83.4,49.1,58.4,50.2,22.0,69.7,68.6,70.7,54.4,54.4,21.7,21.7
South Korea,66.5,81.4,71.7,53.8,100.0,41.7,90.7,100.0,84.4,89.4,89.4,96.7,96.7,56.6,62.6,88.2,88.2,17.2,16.0,78.6,90.1,54.2,32.2,32.8,11.3,42.1,12.6,23.0,11.6,1.5,62.6,45.5,100.0,100.0,81.5,100.0,36.5,44.8,15.9,100.0,100.0,100.0,51.7,51.7,76.8,76.8
Spain,74.3,86.8,80.2,83.3,81.3,37.7,96.8,100.0,94.6,71.3,71.3,89.0,89.0,66.0,87.6,100.0,100.0,100.0,46.7,90.1,98.1,40.8,24.4,21.9,56.9,35.5,17.9,7.3,36.0,9.3,71.2,64.4,86.1,100.0,63.8,100.0,45.4,53.3,35.5,100.0,100.0,100.0,36.2,36.2,91.5,91.5
Sri Lanka,39.0,42.1,37.8,44.8,27.3,44.0,48.4,51.1,46.6,72.4,72.4,4.4,4.4,36.9,61.1,90.7,98.2,0.7,41.6,72.8,70.9,46.1,37.8,34.1,40.7,100.0,11.3,12.0,14.8,6.3,31.0,1.6,100.0,,97.6,59.5,23.7,31.9,80.2,53.1,64.5,41.8,33.2,33.2,0.0,0.0
Sudan,34.8,20.8,17.6,14.8,19.7,30.6,22.3,22.0,22.5,7.1,7.1,53.8,53.8,44.1,46.6,11.6,12.7,100.0,9.1,95.1,46.6,66.8,59.9,61.8,45.0,39.3,9.1,6.4,11.7,,52.8,44.4,69.5,,60.5,87.7,48.3,47.0,67.7,64.8,65.4,64.3,24.7,24.7,0.0,0.0
Suriname,45.2,36.6,37.4,30.3,39.3,99.5,39.3,45.4,35.3,43.2,43.2,0.0,0.0,50.9,63.6,57.5,84.4,0.0,98.0,91.9,84.3,78.1,51.3,47.1,100.0,77.5,16.8,8.8,24.8,,52.8,45.2,56.0,100.0,65.7,68.7,22.1,25.6,41.6,82.4,70.1,94.6,59.4,59.4,0.0,0.0
Sweden,78.7,98.4,98.2,100.0,100.0,64.7,98.5,99.7,97.7,98.0,98.0,99.8,99.8,65.6,72.5,61.7,63.7,100.0,33.2,69.8,99.3,71.6,22.4,19.8,44.4,47.1,11.6,5.9,24.2,3.6,77.2,68.6,100.0,98.2,76.7,100.0,57.3,68.4,37.0,100.0,100.0,100.0,63.6,63.6,100.0,100.0
Switzerland,81.5,95.0,90.6,87.8,100.0,46.4,100.0,100.0,100.0,95.0,95.0,99.0,99.0,72.5,63.0,44.7,53.3,,69.6,85.8,100.0,52.9,46.4,46.1,65.6,31.6,,,,,81.6,76.0,100.0,93.1,91.9,100.0,71.8,62.0,41.5,100.0,100.0,100.0,47.6,47.6,96.7,96.7
Tajikistan,38.2,20.7,15.2,10.7,20.5,22.1,30.9,29.8,31.6,15.7,15.7,0.0,0.0,49.9,65.8,64.0,75.5,,27.1,93.3,69.4,58.0,97.6,100.0,52.0,100.0,,,,,36.9,21.2,29.8,100.0,27.9,34.4,100.0,59.8,86.5,29.8,28.3,31.4,45.5,45.5,2.2,2.2
Tanzania,31.1,27.4,35.8,53.0,10.6,47.8,18.4,18.6,18.2,43.6,43.6,0.0,0.0,33.5,70.7,99.4,98.9,9.6,67.3,83.7,86.3,53.9,28.3,25.7,47.0,56.9,13.0,13.9,12.1,,18.7,4.9,32.6,,37.5,28.6,39.9,57.6,81.6,40.1,58.3,21.9,44.0,44.0,1.4,1.4
Thailand,45.4,48.4,40.6,41.1,40.1,39.8,55.8,75.8,42.5,81.6,81.6,32.9,32.9,43.5,53.0,76.7,59.1,16.9,21.8,69.9,84.1,48.2,24.3,23.3,38.7,28.3,11.1,3.3,23.7,5.5,52.5,38.2,85.4,94.4,65.7,42.6,35.5,40.4,37.7,78.7,100.0,57.4,33.1,33.1,2.0,2.0
Timor-Leste,35.3,28.9,33.6,49.0,11.5,40.5,25.9,25.6,26.1,34.3,34.3,0.0,0.0,39.5,64.5,94.6,94.6,0.0,23.8,99.4,95.4,47.6,43.8,40.7,100.0,,46.8,18.6,29.3,100.0,23.4,16.9,23.2,,37.0,66.4,58.3,0.0,67.2,64.7,88.3,41.1,34.9,34.9,0.3,0.3
Togo,29.5,16.4,24.1,33.7,10.7,26.8,5.1,5.6,4.8,43.7,43.7,1.0,1.0,38.2,64.2,98.5,98.4,0.0,34.9,92.4,73.5,47.0,28.1,23.5,40.2,100.0,11.1,,11.1,,34.4,31.2,32.4,,34.6,11.2,63.9,55.4,91.4,49.9,30.4,69.3,39.8,39.8,0.0,0.0
Tonga,45.1,43.6,39.5,49.6,24.3,50.5,46.4,52.0,42.7,78.8,78.8,27.2,27.2,46.0,37.3,58.3,58.3,0.5,5.0,,,59.2,,,,,44.7,6.3,58.6,73.5,56.6,45.7,74.4,,100.0,87.5,,42.6,69.9,65.5,100.0,31.0,34.1,34.1,0.3,0.3
Trinidad and Tobago,47.5,54.6,57.2,30.1,89.6,96.0,53.4,60.9,48.3,82.0,82.0,10.4,10.4,42.9,67.8,99.4,98.8,0.4,92.2,,,52.6,35.9,36.4,31.5,30.3,11.8,9.8,18.3,6.7,42.1,51.7,3.6,,45.6,85.9,72.0,10.8,0.0,77.9,100.0,55.7,5.2,5.2,3.2,3.2
Tunisia,46.7,49.2,48.7,26.2,81.1,36.3,52.6,58.0,48.9,36.5,36.5,39.6,39.6,45.0,37.1,32.0,37.1,9.9,4.1,90.9,59.3,58.4,22.5,16.0,61.8,100.0,18.3,24.6,11.9,,60.2,59.0,69.6,,67.7,76.5,0.0,51.4,61.0,84.2,91.0,77.3,24.3,24.3,43.0,43.0
Turkey,42.6,51.3,49.5,32.3,76.2,25.7,52.6,61.2,46.9,61.5,61.5,48.5,48.5,36.9,15.1,1.1,1.4,0.0,10.9,87.0,3.3,44.3,37.1,35.6,53.6,47.5,10.8,2.4,22.3,7.2,49.3,35.5,87.7,87.2,0.0,50.2,64.2,56.6,38.5,84.0,82.8,85.2,57.4,57.4,30.4,30.4
Uganda,35.6,25.7,32.6,48.0,11.3,33.7,17.6,17.5,17.6,41.9,41.9,4.9,4.9,42.2,81.4,95.2,95.3,,37.3,86.8,92.6,53.8,24.4,20.1,59.2,66.6,,,,,27.4,17.6,36.6,,39.6,40.0,23.9,51.6,93.3,44.4,46.0,42.9,38.7,38.7,0.4,0.4
Ukraine,49.5,49.0,39.8,30.6,51.1,50.6,55.1,55.2,55.0,69.3,69.3,73.1,73.1,49.9,37.7,23.8,26.0,26.1,17.5,84.2,80.4,43.0,30.2,25.2,62.7,86.9,12.4,11.8,20.1,4.1,69.2,61.9,87.4,87.9,66.2,80.9,57.0,68.2,42.5,76.6,64.9,88.4,79.5,79.5,14.1,14.1
United Arab Emirates,55.6,55.2,48.6,13.9,100.0,18.8,67.2,90.5,51.6,54.3,54.3,26.8,26.8,55.9,80.9,90.4,90.4,100.0,8.9,81.3,80.3,76.8,100.0,,100.0,100.0,14.5,13.5,15.6,,38.9,26.5,52.7,92.6,41.7,74.4,15.0,19.8,0.0,83.4,100.0,66.7,13.7,13.7,76.8,76.8
United Kingdom,81.3,91.7,84.7,75.4,100.0,64.5,100.0,100.0,100.0,94.6,94.6,92.9,92.9,74.3,88.0,98.4,97.9,100.0,50.7,92.1,100.0,44.7,28.3,24.0,72.8,60.6,8.8,13.1,,3.7,90.0,92.6,100.0,96.9,73.0,100.0,35.5,79.3,35.1,100.0,100.0,100.0,54.3,54.3,98.5,98.5
United States of America,69.3,82.8,84.2,78.8,98.0,34.3,86.1,81.4,89.2,75.9,75.9,48.3,48.3,60.3,67.5,53.8,61.6,100.0,15.8,83.9,86.3,58.2,26.8,23.2,59.3,59.0,6.6,8.9,,4.0,71.4,67.0,76.7,94.2,78.1,100.0,73.5,56.7,4.5,100.0,100.0,100.0,71.9,71.9,58.9,58.9
Uruguay,49.1,67.7,67.7,71.0,64.6,56.1,70.8,84.5,61.6,62.3,62.3,48.9,48.9,36.7,25.0,20.0,20.1,3.3,6.6,72.2,32.6,52.0,21.0,16.7,81.6,38.0,6.5,7.1,5.9,,55.5,48.7,87.3,73.9,73.4,3.3,23.7,64.7,21.0,36.4,54.7,18.1,71.4,71.4,2.1,2.1
Uzbekistan,44.3,29.7,15.0,0.3,32.8,34.5,52.0,49.2,53.8,27.8,27.8,0.0,0.0,54.1,37.6,19.2,35.0,,1.7,75.2,49.2,65.9,70.4,72.2,52.2,56.0,,,,,65.9,67.9,44.0,78.7,21.2,97.2,91.6,97.1,43.2,70.9,68.5,73.2,47.5,47.5,0.0,0.0
Vanuatu,28.9,26.7,28.6,42.2,5.9,59.1,21.5,21.7,21.3,45.6,45.6,31.4,31.4,30.4,30.0,24.1,24.1,0.1,10.6,99.0,23.0,70.5,49.7,47.0,100.0,,26.4,7.6,11.2,66.2,32.0,19.1,67.2,,61.0,37.5,2.7,29.4,68.3,16.4,7.3,25.5,33.0,33.0,0.0,0.0
Viet Nam,33.4,40.6,32.0,36.6,24.9,38.7,52.7,55.7,50.7,47.8,47.8,22.8,22.8,28.5,33.3,43.9,28.0,3.8,25.0,39.4,66.6,50.8,16.4,14.1,39.7,35.5,14.6,35.3,4.6,2.1,30.7,20.6,54.4,,36.8,46.3,8.1,45.6,59.0,45.7,51.5,40.0,50.3,50.3,0.3,0.3
Zambia,34.7,21.0,27.0,36.9,12.5,34.0,13.4,13.9,13.1,42.4,42.4,0.0,0.0,43.9,90.4,100.0,100.0,,68.6,91.8,96.7,65.8,31.1,27.6,61.6,63.8,,,,,26.5,0.3,51.5,89.6,50.4,33.1,24.2,61.6,70.5,22.5,0.0,45.1,36.6,36.6,4.2,4.2
Zimbabwe,37.0,22.5,27.2,38.2,10.2,40.8,16.8,17.8,16.1,32.6,32.6,11.0,11.0,46.7,87.0,99.7,99.1,,54.1,91.2,94.8,58.0,23.1,20.8,47.8,39.0,,,,,37.0,10.2,90.2,,100.0,30.7,65.9,82.6,73.8,41.0,48.2,33.7,23.6,23.6,0.0,0.0
