Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
Denmark,82.5,91.7,85.5,78.8,100.0,43.1,97.4,100.0,95.7,100.0,100.0,99.8,99.8,76.4,81.7,85.9,85.9,100.0,34.9,93.4,100.0,44.5,30.2,26.2,72.7,60.6,13.2,5.1,30.2,2.8,95.0,100.0,100.0,100.0,69.7,100.0,61.9,82.8,31.8,100.0,100.0,100.0,73.0,73.0,100.0,100.0
Djibouti,28.1,20.1,21.1,16.7,25.0,38.2,18.3,18.6,18.1,46.2,46.2,0.0,0.0,33.4,23.0,7.8,7.8,1.8,7.6,90.9,32.9,64.3,73.9,,47.8,100.0,6.2,,6.2,,40.1,23.8,57.6,,66.1,64.2,,100.0,74.8,55.5,70.0,41.0,15.7,15.7,0.0,0.0
Dominican Republic,46.3,36.1,37.4,34.8,37.8,63.3,38.9,44.7,35.1,30.0,30.0,5.7,5.7,53.2,81.6,91.5,99.0,100.0,39.6,64.6,87.2,44.1,26.6,23.7,63.4,43.0,21.8,27.4,16.3,,56.1,50.1,59.6,,59.8,91.0,60.6,69.2,59.1,79.3,85.7,72.9,24.2,24.2,5.8,5.8
Ecuador,51.0,50.2,48.7,46.2,50.0,66.0,50.2,55.7,46.5,63.0,63.0,53.6,53.6,51.5,77.3,91.0,77.4,100.0,47.4,74.3,66.1,48.9,38.3,38.6,36.2,34.4,13.5,9.0,18.0,,60.2,45.7,97.4,89.7,82.0,34.7,55.5,56.1,55.9,28.4,25.2,31.6,29.2,29.2,0.0,0.0
Egypt,43.3,33.8,35.3,0.0,85.0,24.9,36.6,36.7,36.6,13.5,13.5,16.3,16.3,49.7,50.6,75.4,42.4,10.3,10.6,97.0,65.1,77.1,62.5,61.1,100.0,50.6,12.1,9.5,14.7,,55.0,52.9,54.9,93.1,55.8,18.0,21.0,53.4,60.4,56.3,54.3,58.4,53.0,53.0,42.0,42.0
El Salvador,43.1,42.5,42.6,44.8,38.6,49.6,41.6,43.1,40.6,35.5,35.5,55.5,55.5,43.5,35.8,41.3,43.8,2.7,27.9,84.2,26.2,44.7,33.5,32.7,42.9,38.6,5.5,0.0,10.9,,62.8,40.4,100.0,89.3,100.0,100.0,96.8,45.2,76.8,86.3,100.0,72.6,23.9,23.9,0.1,0.1
Equatorial Guinea,38.1,27.6,24.6,17.6,32.8,36.8,33.1,38.6,29.5,40.1,40.1,0.0,0.0,45.1,66.0,100.0,100.0,1.9,35.7,82.1,75.6,63.1,33.7,30.7,100.0,21.3,14.3,15.8,21.5,4.3,46.1,33.3,100.0,,74.0,76.3,3.7,0.0,24.7,76.4,77.8,74.9,28.1,28.1,1.2,1.2
Estonia,65.3,73.0,80.3,95.7,60.2,72.1,61.9,66.1,59.0,87.4,87.4,74.4,74.4,60.1,87.0,100.0,100.0,100.0,31.3,78.2,100.0,60.5,22.4,17.1,63.1,77.7,16.4,36.2,8.3,2.9,59.0,47.5,100.0,90.4,56.4,50.9,52.7,41.1,5.7,96.6,100.0,93.3,51.8,51.8,69.6,69.6
Eswatini,33.8,17.6,21.1,24.1,15.5,32.5,12.6,13.2,12.1,40.2,40.2,0.0,0.0,44.6,38.4,24.7,21.3,,34.8,76.2,59.3,45.0,24.0,21.0,72.6,29.8,,,,,56.9,41.9,100.0,,71.6,62.6,90.2,50.2,69.7,60.5,68.6,52.3,41.1,41.1,5.7,5.7
Ethiopia,34.4,25.2,38.0,58.4,10.5,33.5,10.9,10.6,11.2,35.8,35.8,0.0,0.0,40.6,72.2,82.8,76.5,,26.1,95.5,81.0,56.7,42.2,40.5,53.0,60.3,,,,,26.1,1.5,32.6,89.4,37.3,35.5,40.2,94.8,83.5,23.6,26.1,21.2,53.3,53.3,0.0,0.0
